model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
13022_41_50_51_UE,13022_41_50_51,UE,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,7,5347,13022,50,615441,0
13022_41_50_51_UE,13022_41_50_51,UE,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,7,6824,13022,51,371764,1
13022_41_50_51_UE,13022_41_50_51,UE,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,7,35445,13022,51,2102115,1
13023_51_A,13023_51,A,4,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_B,13023_51,B,7,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,1616,2,364,13023,51,26860,1
13023_51_C,13023_51,C,16,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,1616,3,15614,13023,51,26860,58
13023_51_D,13023_51,D,69,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_E,13023_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,1616,5,9706,13023,51,26860,36
13023_51_Agriculture,13023_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,1616,180,49,13023,51,26860,0
13023_51_Developed,13023_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,1616,120,692,13023,51,26860,2
13023_51_Water,13023_51,Water,0,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,NA,NA,NA,NA,NA,NA,NA
13023_51_UN,13023_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,1616,6,290,13023,51,26860,1
13023_51_UE,13023_51,UE,0,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,1616,7,145,13023,51,26860,0
13441_51_A,13441_51,A,35,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,1,228,13441,51,65797,0
13441_51_B,13441_51,B,15,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,2,42,13441,51,65797,0
13441_51_C,13441_51,C,31,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,3,6978,13441,51,65797,10
13441_51_D,13441_51,D,19,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,4,42621,13441,51,65797,64
13441_51_E,13441_51,E,NA,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_Agriculture,13441_51,Agriculture,0,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,180,105,13441,51,65797,0
13441_51_Developed,13441_51,Developed,0,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,120,4070,13441,51,65797,6
13441_51_Water,13441_51,Water,0,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,NA,NA,NA,NA,NA,NA,NA
13441_51_UN,13441_51,UN,0,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,6,1273,13441,51,65797,1
13441_51_UE,13441_51,UE,0,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,7,10480,13441,51,65797,15
13442_51_A,13442_51,A,31,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,1621,1,4,13442,51,27099,0
13442_51_B,13442_51,B,34,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,1621,2,261,13442,51,27099,0
13442_51_C,13442_51,C,25,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,1621,3,16670,13442,51,27099,61
13442_51_D,13442_51,D,10,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_E,13442_51,E,NA,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_Agriculture,13442_51,Agriculture,0,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,1621,180,31,13442,51,27099,0
13442_51_Developed,13442_51,Developed,0,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,1621,120,1957,13442,51,27099,7
13442_51_Water,13442_51,Water,0,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,NA,NA,NA,NA,NA,NA,NA
13442_51_UN,13442_51,UN,0,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,1621,6,6354,13442,51,27099,23
13442_51_UE,13442_51,UE,0,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,1621,7,1822,13442,51,27099,6
13620_51_63_64_65_66_A,13620_51_63_64_65_66,A,13,Laurentian-Acadian Northern Pine(-Oak) Forest,1622,1,222,13620,51,95708,0
13620_51_63_64_65_66_B,13620_51_63_64_65_66,B,13,Laurentian-Acadian Northern Pine(-Oak) Forest,1622,2,75910,13620,51,95708,79
13620_51_63_64_65_66_C,13620_51_63_64_65_66,C,48,Laurentian-Acadian Northern Pine(-Oak) Forest,1622,3,3442,13620,51,95708,3
13620_51_63_64_65_66_D,13620_51_63_64_65_66,D,26,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_E,13620_51_63_64_65_66,E,NA,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_Agriculture,13620_51_63_64_65_66,Agriculture,0,Laurentian-Acadian Northern Pine(-Oak) Forest,1622,180,1548,13620,51,95708,1
13620_51_63_64_65_66_Developed,13620_51_63_64_65_66,Developed,0,Laurentian-Acadian Northern Pine(-Oak) Forest,1622,120,5628,13620,51,95708,5
13620_51_63_64_65_66_Water,13620_51_63_64_65_66,Water,0,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_UN,13620_51_63_64_65_66,UN,0,Laurentian-Acadian Northern Pine(-Oak) Forest,NA,NA,NA,NA,NA,NA,NA
13620_51_63_64_65_66_UE,13620_51_63_64_65_66,UE,0,Laurentian-Acadian Northern Pine(-Oak) Forest,1622,7,8958,13620,51,95708,9
13622_41_50_A,13622_41_50,A,17,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2726,1,166,13622,50,50563,0
13622_41_50_B,13622_41_50,B,18,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2726,2,17141,13622,50,50563,33
13622_41_50_C,13622_41_50,C,16,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,NA,NA,NA,NA,NA,NA,NA
13622_41_50_D,13622_41_50,D,18,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2726,4,12044,13622,50,50563,23
13622_41_50_E,13622_41_50,E,31,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2726,5,9066,13622,50,50563,17
13622_41_50_Agriculture,13622_41_50,Agriculture,0,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2726,180,2091,13622,50,50563,4
13622_41_50_Developed,13622_41_50,Developed,0,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2726,120,5996,13622,50,50563,11
13622_41_50_Water,13622_41_50,Water,0,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,NA,NA,NA,NA,NA,NA,NA
13622_41_50_UN,13622_41_50,UN,0,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2726,6,445,13622,50,50563,0
13622_41_50_UE,13622_41_50,UE,0,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2726,7,3614,13622,50,50563,7
13651_40_41_50_A,13651_40_41_50,A,12,Boreal White Spruce-Fir-Hardwood Forest - Inland,1568,1,30,13651,50,3202,0
